lambda-u utility-finmean utility-stderrfinmean
0.0 6.5043575710293995 0.11169506397936367
0.1 6.112852183303593 0.11756687103338165
0.2 5.721346795577784 0.12806285702797357
0.3 5.329841407851974 0.142162462957408
0.4 4.938336020126166 0.15890934754263944
0.5 4.546830632400359 0.1775560191519851
0.6 4.155325244674553 0.19756528914800445
0.7 3.763819856948744 0.2185632433725554
0.8 3.372314469222936 0.24029083122185288
0.9 2.9808090814971275 0.26256698216533014
1.0 2.589303693771321 0.28526321356931117
