lambda-u utility-finmean utility-stderrfinmean
0.0 4.581128520000001 0.11744810276843018
0.1 4.844046772087804 0.10925085212372236
0.2 5.106965024175608 0.10211614110061937
0.3 5.369883276263412 0.09628047358873044
0.4 5.632801528351218 0.09199140532313485
0.5 5.89571978043902 0.08947163488976163
0.6 6.158638032526825 0.08887178395888533
0.7 6.421556284614628 0.09023015158963893
0.8 6.6844745367024325 0.09346139451886064
0.9 6.947392788790235 0.09838114663184941
1.0 7.21031104087804 0.10475177085592036
