lambda-u utility-finmean utility-stderrfinmean
0.0 3.3595114199999987 0.05903441546577891
0.1 3.6900456209794332 0.05337138565460018
0.2 4.020579821958864 0.04776020998379258
0.3 4.351114022938296 0.04222156750285208
0.4 4.681648223917728 0.03678823345579212
0.5 5.012182424897159 0.031514722478484
0.6 5.342716625876591 0.02649663372377518
0.7 5.673250826856024 0.021910173851112418
0.8 6.003785027835454 0.018086737997164523
0.9 6.334319228814888 0.015597907496462938
1.0 6.664853429794318 0.01511785695316592
