lambda-u utility-finmean utility-stderrfinmean
0.0 3.1138824867368013 0.0016756195590838638
0.1 3.832136290236732 0.0020226677538389324
0.2 4.5503900937366675 0.002914150629544218
0.3 5.268643897236602 0.004001370771941019
0.4 5.986897700736538 0.005162099120612883
0.5 6.70515150423647 0.006356191605131059
0.6 7.423405307736403 0.007567871644317334
0.7 8.141659111236336 0.008789868932026478
0.8 8.859912914736272 0.010018408834398963
0.9 9.578166718236206 0.011251348382204674
1.0 10.296420521736144 0.01248738444895225
