lambda-u utility-finmean utility-stderrfinmean
0.0 6.70812354 0.13345688015724275
0.1 6.227289785548338 0.12132783980146233
0.2 5.746456031096671 0.10994803680254484
0.3 5.265622276645008 0.09957468111341361
0.4 4.784788522193345 0.09055431341025158
0.5 4.303954767741678 0.08332748929270538
0.6 3.8231210132900157 0.07839182038139943
0.7 3.3422872588383523 0.0761938630721206
0.8 2.861453504386688 0.07696851481778984
0.9 2.380619749935023 0.08063014332691842
1.0 1.8997859954833602 0.08681421536155405
