lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 4.55647784 0.15173433211981263 10.0 rrtconnect-default-sc10.00
0.1 5.233073604380957 0.24063106067589773 2.5 rrtconnect-default-sc02.50
0.2 5.750455520761912 0.3794930276556616 1.6 rrtconnect-default-sc01.60
0.3 6.272675441142867 0.5118230093675581 1.6 rrtconnect-default-sc01.60
0.4 6.794895361523825 0.6490478434962856 1.6 rrtconnect-default-sc01.60
0.5 7.191711501904779 0.8423201173954158 1.0 rrtconnect-default-sc01.00
0.6 7.619012178285736 0.9703909395522199 1.0 rrtconnect-default-sc01.00
0.7 7.983527266666693 1.1361353118191055 0.63 rrtconnect-default-sc00.63
0.8 8.308423139047646 1.2551448824101985 0.63 rrtconnect-default-sc00.63
0.9 8.536630531428603 1.3793496911252388 0.25 rrtconnect-default-sc00.25
1.0 8.32821488380956 1.4984882204670251 0.0 rrtconnect-default-sc00.00
