lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 4.917547297091199 0.04774525029214934 10.0 larastar-haltonoffdens10000,1.0-sc10.00
0.1 4.925200247569579 0.07189831616947596 2.5 larastar-haltonoffdens10000,1.0-sc02.50
0.2 4.760441071040121 0.11989764182228944 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.3 4.27125443286288 0.10862723808122839 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.4 3.7820677946856405 0.09778078041658439 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.5 3.2928811565084004 0.08751603859697517 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.6 2.8036945183311603 0.0780628261828173 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.7 2.31450788015392 0.06975187795823697 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.8 1.8253212419766798 0.06303662390121607 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.9 1.33613460379944 0.058469472839563774 0.0 larastar-haltonoffdens10000,1.0-sc00.00
1.0 0.8469479656222001 0.05657308885433205 0.0 larastar-haltonoffdens10000,1.0-sc00.00
