lambda-u utility-finmean utility-stderrfinmean
0.0 5.41855182 0.12308281389210321
0.1 5.357533059489716 0.11234645773787369
0.2 5.296514298979433 0.10177758623488155
0.3 5.235495538469147 0.09143429638954328
0.4 5.174476777958863 0.08140262314940552
0.5 5.113458017448578 0.0718132756379947
0.6 5.052439256938295 0.06286898331462226
0.7 4.991420496428011 0.054886014348566894
0.8 4.930401735917728 0.048342973450431405
0.9 4.869382975407444 0.043888661359038114
1.0 4.808364214897159 0.04218991719177368
