lambda-u utility-finmean utility-stderrfinmean
0.0 3.4611515968991995 0.06770104702970302
0.1 4.197819712813538 0.060663527856602284
0.2 4.934487828727876 0.053851668464828514
0.3 5.671155944642216 0.04736293405427067
0.4 6.407824060556553 0.041349722965927066
0.5 7.14449217647089 0.036050775273702276
0.6 7.881160292385227 0.031824895092637626
0.7 8.617828408299568 0.029142687570403315
0.8 9.354496524213904 0.02844424847559217
0.9 10.091164640128241 0.029869065020563638
1.0 10.82783275604258 0.033144434833172684
