lambda-u param-best planner-best
0.0 10.0 bitstar-default-sc10.00
0.1 6.3 bitstar-default-sc06.30
0.2 1.6 bitstar-default-sc01.60
0.3 0.0 bitstar-default-sc00.00
0.4 0.0 bitstar-default-sc00.00
0.5 0.0 bitstar-default-sc00.00
0.6 0.0 bitstar-default-sc00.00
0.7 0.0 bitstar-default-sc00.00
0.8 0.0 bitstar-default-sc00.00
0.9 0.0 bitstar-default-sc00.00
1.0 0.0 bitstar-default-sc00.00
