lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 5.057797774199201 0.11085153908732069 10.0 larastar-haltonoffdens10000,1.0-sc10.00
0.1 5.797992995376271 0.17255507427035405 2.5 larastar-haltonoffdens10000,1.0-sc02.50
0.2 5.766914074172463 0.2294295599997289 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.3 5.915072627148195 0.30118121813690607 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.4 6.063231180123925 0.37554936378121706 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.5 6.211389733099658 0.45124219487522255 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.6 6.359548286075393 0.527689972954219 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.7 6.507706839051123 0.6046063942750902 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.8 6.655865392026859 0.681832876709177 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.9 6.804023945002587 0.7592748164176022 0.0 larastar-haltonoffdens10000,1.0-sc00.00
1.0 6.95218249797832 0.8368724020134367 0.0 larastar-haltonoffdens10000,1.0-sc00.00
