lambda-u utility-finmean utility-stderrfinmean
0.0 3.786713784823602 0.062187536031238555
0.1 3.4990559146610907 0.056263821659324635
0.2 3.2113980444985812 0.05035788992279897
0.3 2.923740174336069 0.04447682527935132
0.4 2.6360823041735597 0.03863198617819062
0.5 2.34842443401105 0.032842718902408675
0.6 2.0607665638485395 0.02714460302568653
0.7 1.7731086936860299 0.02160986398916813
0.8 1.4854508235235193 0.01640470754165821
0.9 1.19779295336101 0.011967209244978004
1.0 0.9101350831985002 0.009449085902223195
