lambda-u utility-finmean utility-stderrfinmean
0.0 4.2186114155348 0.10778942552064685
0.1 4.5082493346120405 0.12932355921368477
0.2 4.79788725368928 0.15178549270078825
0.3 5.087525172766518 0.174817958843615
0.4 5.3771630918437605 0.19822217783884816
0.5 5.6668010109210005 0.2218805420788521
0.6 5.9564389299982405 0.24571965373639898
0.7 6.246076849075481 0.2696915861211981
0.8 6.535714768152718 0.29376382542767354
0.9 6.825352687229957 0.3179135869199915
1.0 7.1149906063072 0.3421244546650684
