lambda-u utility-finmean utility-stderrfinmean
0.0 9.5187923614858 0.31747887870505176
0.1 8.690208391965523 0.2890528717426402
0.2 7.861624422445245 0.26064733859171535
0.3 7.033040452924966 0.2322697909342675
0.4 6.20445648340469 0.20393191182298875
0.5 5.375872513884409 0.17565290134904424
0.6 4.547288544364132 0.14746663032130958
0.7 3.7187045748438554 0.11943877334322128
0.8 2.8901206053235766 0.09171467881736213
0.9 2.0615366358032974 0.06468610559337522
1.0 1.2329526662830204 0.039796361850420195
