lambda-u utility-finmean utility-stderrfinmean
0.0 5.136656532530201 0.07555017160066514
0.1 4.761750044087368 0.07476904953018823
0.2 4.386843555644537 0.07424998312227798
0.3 4.011937067201703 0.07399848719347193
0.4 3.637030578758872 0.07401728924676541
0.5 3.2621240903160396 0.07430618409802292
0.6 2.887217601873208 0.07486204492419542
0.7 2.5123111134303766 0.07567898937293148
0.8 2.1374046249875445 0.07674868065339843
0.9 1.7624981365447119 0.07806072904360699
1.0 1.3875916481018797 0.07960315158870636
