lambda-u utility-finmean utility-stderrfinmean
0.0 6.174574801273199 0.11933707662270726
0.1 5.8291557456378005 0.12201515836466982
0.2 5.4837366900024005 0.12600698168284277
0.3 5.1383176343670005 0.1311926809812512
0.4 4.7928985787316 0.137437182747027
0.5 4.4474795230962005 0.14460338311393098
0.6 4.1020604674608006 0.152561453725088
0.7 3.7566414118254006 0.16119415456397074
0.8 3.4112223561900006 0.17039898273357648
0.9 3.0658033005546 0.18008823036457813
1.0 2.7203842449192006 0.1901878746482443
