lambda-u utility-finmean utility-stderrfinmean
0.0 2.8334703599999993 0.10718754327319446
0.1 2.8585355401865122 0.09442217205338609
0.2 2.8836007203730243 0.08247721592185427
0.3 2.9086659005595354 0.07176352238962153
0.4 2.933731080746048 0.0629132940952536
0.5 2.9587962609325604 0.05680430820519382
0.6 2.983861441119071 0.054368591263982954
0.7 3.008926621305584 0.056086766977550585
0.8 3.0339918014920952 0.06161229238198078
0.9 3.059056981678608 0.07004991894167995
1.0 3.084122161865119 0.08048897529173667
