lambda-u utility-finmean utility-stderrfinmean
0.0 5.738814347394599 0.14330699675402414
0.1 5.289627709217362 0.13148301792644812
0.2 4.840441071040121 0.11989764182228944
0.3 4.39125443286288 0.10862723808122839
0.4 3.942067794685641 0.09778078041658439
0.5 3.4928811565084006 0.08751603859697517
0.6 3.043694518331161 0.07806282618281732
0.7 2.5945078801539205 0.06975187795823698
0.8 2.145321241976679 0.06303662390121607
0.9 1.69613460379944 0.058469472839563774
1.0 1.2469479656221996 0.05657308885433206
