lambda-u utility-finmean utility-stderrfinmean
0.0 8.1482897280106 0.1730929711590589
0.1 7.540962017397477 0.15852377778840038
0.2 6.933634306784349 0.14425386733528764
0.3 6.326306596171222 0.13038154399803945
0.4 5.718978885558096 0.11704825691433392
0.5 5.111651174944971 0.10446061714972024
0.6 4.5043234643318435 0.09292214634392718
0.7 3.896995753718719 0.0828722431473247
0.8 3.2896680431055914 0.07491242049634811
0.9 2.6823403324924664 0.06976181951626079
1.0 2.075012621879341 0.06806122858913362
