lambda-u utility-finmean utility-stderrfinmean
0.0 6.157742279357597 0.17243004592189287
0.1 5.878291809546985 0.21153084524926163
0.2 5.598841339736368 0.26987886638328307
0.3 5.3193908699257495 0.33763890892787013
0.4 5.0399404001151344 0.41017263365185297
0.5 4.760489930304521 0.48534448821945986
0.6 4.481039460493904 0.5620970391012032
0.7 4.201588990683288 0.6398617169052137
0.8 3.9221385208726707 0.7183098763268215
0.9 3.6426880510620565 0.7972397797210307
1.0 3.3632375812514397 0.8765212949973542
