lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 6.685138919999999 0.14565410714632293 10.0 rrtconnect-default-sc10.00
0.1 7.028581581646904 0.14626935490641757 4.0 rrtconnect-default-sc04.00
0.2 7.124617823293809 0.16884385968548918 2.5 rrtconnect-default-sc02.50
0.3 7.173809844940711 0.19081704827782242 2.5 rrtconnect-default-sc02.50
0.4 7.1656751305876165 0.2303080101309059 1.6 rrtconnect-default-sc01.60
0.5 7.074421608234519 0.2632411783067093 1.6 rrtconnect-default-sc01.60
0.6 6.983168085881424 0.30158248619542255 1.6 rrtconnect-default-sc01.60
0.7 6.7942903095283285 0.34813849398360713 1.0 rrtconnect-default-sc01.00
0.8 6.535578205175231 0.38910300273093307 1.0 rrtconnect-default-sc01.00
0.9 6.079992368822135 0.4455987335244061 0.25 rrtconnect-default-sc00.25
1.0 5.01815399646904 0.48124391326067206 0.0 rrtconnect-default-sc00.00
