lambda-u utility-finmean utility-stderrfinmean
0.0 6.693944649950002 0.13799164595933158
0.1 7.72402514814312 0.3116529096863475
0.2 8.754105646336242 0.48854703826859863
0.3 9.784186144529365 0.6661033792210663
0.4 10.81426664272248 0.843904050080387
0.5 11.844347140915602 1.0218215159205093
0.6 12.874427639108724 1.1998038197045993
0.7 13.904508137301839 1.377825835104371
0.8 14.934588635494961 1.5558739308530176
0.9 15.964669133688078 1.7339400728567973
1.0 16.9947496318812 1.9120192191850218
