lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 5.5301872791224005 0.1350675391725372 10.0 bitstar-default-sc10.00
0.1 6.026784253296378 0.18127022303900633 6.3 bitstar-default-sc06.30
0.2 6.169590230600394 0.22958962320908607 4.0 bitstar-default-sc04.00
0.3 6.039119232376014 0.2405238862175546 2.5 bitstar-default-sc02.50
0.4 5.787133014876592 0.2691498985626605 1.6 bitstar-default-sc01.60
0.5 5.44968347597699 0.26362537812765613 1.0 bitstar-default-sc01.00
0.6 4.961000291032549 0.27080889116095047 0.63 bitstar-default-sc00.63
0.7 4.384683875759647 0.2842655530664192 0.0 bitstar-default-sc00.00
0.8 3.688280691914821 0.29536525133027275 0.0 bitstar-default-sc00.00
0.9 2.991877508070002 0.3081086827310212 0.0 bitstar-default-sc00.00
1.0 2.2954743242251805 0.32230093189860126 0.0 bitstar-default-sc00.00
