lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 6.1180306548724 0.35065550708144727 10.0 bitstar-default-sc10.00
0.1 7.9816048452230985 0.4468788765688547 4.0 bitstar-default-sc04.00
0.2 8.59203744910175 0.7012883607010257 2.5 bitstar-default-sc02.50
0.3 9.01643207241601 0.985626559699844 1.6 bitstar-default-sc01.60
0.4 9.140248063890342 1.292615528216519 1.0 bitstar-default-sc01.00
0.5 9.277855444862679 1.605841158307084 0.63 bitstar-default-sc00.63
0.6 9.294989544130056 1.9257577406152486 0.4 bitstar-default-sc00.40
0.7 9.169289920364513 2.2475791598080566 0.0 bitstar-default-sc00.00
0.8 9.18438855174193 2.5730633908710505 0.0 bitstar-default-sc00.00
0.9 9.199487183119343 2.899278989965059 0.0 bitstar-default-sc00.00
1.0 9.21458581449676 3.2260040955087828 0.0 bitstar-default-sc00.00
