lambda-u utility-finmean utility-stderrfinmean
0.0 4.652588010306599 0.09815235024670564
0.1 4.248188574739196 0.08849650363438989
0.2 3.843789139171792 0.07885597095321849
0.3 3.4393897036043883 0.06923714940219414
0.4 3.0349902680369834 0.059650542852620496
0.5 2.6305908324695806 0.05011464227934319
0.6 2.226191396902176 0.040665134720844084
0.7 1.821791961334772 0.0313801640506534
0.8 1.4173925257673679 0.02246468145180546
0.9 1.0129930901999638 0.014611462367604343
1.0 0.6085936546325599 0.010545779023495403
