x y z
0.25 1.0 0.25
0.24619691 0.99 0.25
0.24228501000000002 0.98 0.25
0.24 0.97427514 0.25
0.23827151000000002 0.97 0.25
0.23416987 0.96 0.25
0.23 0.95007648 0.25
0.22996766999999999 0.95 0.25
0.22572129 0.94 0.25
0.22139096 0.9299999999999999 0.25
0.22 0.92681727 0.25
0.21703371000000002 0.92 0.25
0.21263721 0.91 0.25
0.21 0.9040561300000001 0.25
0.20822306999999998 0.9 0.25
0.20382942 0.89 0.25
0.2 0.88134786 0.25
0.19941589 0.88 0.25
0.19509591 0.87 0.25
0.19076313 0.86 0.25
0.19 0.85823315 0.25
0.18655586 0.85 0.25
0.18238721000000002 0.84 0.25
0.18 0.83424584 0.25
0.17830689 0.83 0.25
0.17435587000000002 0.8200000000000001 0.25
0.17043743 0.81 0.25
0.17 0.80887222 0.25
0.16672241 0.8 0.25
0.16307666 0.79 0.25
0.16 0.78144762 0.25
0.15950682 0.78 0.25
0.15615275 0.77 0.25
0.15285785000000002 0.76 0.25
0.15 0.75117229 0.25
0.14964293 0.75 0.25
0.14665113 0.74 0.25
0.14372347 0.73 0.25
0.14085869 0.72 0.25
0.14 0.71694493 0.25
0.13817519 0.71 0.25
0.13560789 0.7 0.25
0.13310363 0.69 0.25
0.13066086 0.6799999999999999 0.25
0.13 0.6772366000000001 0.25
0.12838931 0.6699999999999999 0.25
0.12621992 0.6599999999999999 0.25
0.12410905 0.65 0.25
0.1220551 0.64 0.25
0.12005649 0.63 0.25
0.12 0.62971113 0.25
0.11823887 0.62 0.25
0.11647734 0.61 0.25
0.11476661 0.6 0.25
0.11310516 0.5900000000000001 0.25
0.11149157000000001 0.5800000000000001 0.25
0.11 0.57048456 0.25
0.10992967999999999 0.5700000000000001 0.25
0.10851336 0.56 0.25
0.10713997000000001 0.55 0.25
0.10580823 0.54 0.25
0.10451691 0.53 0.25
0.10326484000000001 0.52 0.25
0.10205092 0.51 0.25
0.10087407000000001 0.5 0.25
0.1 0.49234772000000004 0.25
0.09975208 0.49 0.25
0.09872493 0.48 0.25
0.09773054 0.47 0.25
0.096768 0.45999999999999996 0.25
0.09583646 0.44999999999999996 0.25
0.09493506 0.43999999999999995 0.25
0.09406302999999999 0.43000000000000005 0.25
0.09321961999999999 0.42000000000000004 0.25
0.09240409 0.41000000000000003 0.25
0.09161577 0.4 0.25
0.09085400999999999 0.39 0.25
0.09011817000000001 0.38 0.25
0.09 0.37834272 0.25
0.08945021 0.37 0.25
0.08881408 0.36 0.25
0.08820080000000001 0.35 0.25
0.08760984000000001 0.33999999999999997 0.25
0.08704072 0.32999999999999996 0.25
0.08649297 0.31999999999999995 0.25
0.08596614000000001 0.31000000000000005 0.25
0.0854598 0.30000000000000004 0.25
0.08497356 0.29000000000000004 0.25
0.08450703000000001 0.28 0.25
