x y z
0.64 0.64176239 0.35
0.63316234 0.64 0.35
0.64 0.637388 0.35
0.65 0.6329129099999999 0.35
0.6556341600000001 0.63 0.35
0.66 0.62775661 0.35
0.67 0.62186681 0.35
0.67278727 0.62 0.35
0.68 0.61517522 0.35
0.68686373 0.61 0.35
0.69 0.6076322300000001 0.35
0.6989887899999999 0.6 0.35
0.7 0.59913812 0.35
0.70955925 0.5900000000000001 0.35
0.71 0.58957598 0.35
0.7189022799999999 0.5800000000000001 0.35
0.72 0.5788086100000001 0.35
0.72728245 0.5700000000000001 0.35
0.73 0.5666747599999999 0.35
0.7349110299999999 0.56 0.35
0.74 0.55298438 0.35
0.7419554599999999 0.55 0.35
0.74839639 0.54 0.35
0.75 0.53746625 0.35
0.75427605 0.53 0.35
0.75988917 0.52 0.35
0.76 0.5197985700000001 0.35
0.7648898599999999 0.51 0.35
0.769765 0.5 0.35
0.77 0.49950726 0.35
0.77412316 0.49 0.35
0.77834924 0.48 0.35
0.78 0.47599626000000006 0.35
0.78225448 0.47 0.35
0.7859147799999999 0.45999999999999996 0.35
0.78947216 0.44999999999999996 0.35
0.79 0.44847700999999995 0.35
0.79268546 0.43999999999999995 0.35
0.7957602199999999 0.43000000000000005 0.35
0.7987418099999999 0.42000000000000004 0.35
0.8 0.41565556000000004 0.35
0.80150112 0.41000000000000003 0.35
0.80407506 0.4 0.35
0.80656569 0.39 0.35
0.8089747300000001 0.38 0.35
0.81 0.37560695 0.35
0.81120238 0.37 0.35
0.8132767200000001 0.36 0.35
0.82 0.35397199 0.35
0.83 0.35465537999999996 0.35
0.84 0.35756319000000003 0.35
0.84784665 0.36 0.35
0.85 0.36177565999999994 0.35
0.85979678 0.37 0.35
0.86 0.37023830999999996 0.35
0.8680819200000001 0.38 0.35
0.87 0.38294479000000003 0.35
0.8744380900000001 0.39 0.35
0.87957447 0.4 0.35
0.88 0.40102817 0.35
0.8835632699999999 0.41000000000000003 0.35
0.88678948 0.42000000000000004 0.35
0.8893421499999999 0.43000000000000005 0.35
0.89 0.43348513 0.35
0.8911741200000001 0.43999999999999995 0.35
0.89238427 0.44999999999999996 0.35
0.89302488 0.45999999999999996 0.35
0.89309821 0.47 0.35
0.89260138 0.48 0.35
0.89152772 0.49 0.35
0.89 0.49921221000000005 0.35
0.8898582899999999 0.5 0.35
0.88744093 0.51 0.35
0.8843703700000001 0.52 0.35
0.88063175 0.53 0.35
0.88 0.53143617 0.35
0.87593603 0.54 0.35
0.8704495900000001 0.55 0.35
0.87 0.55072052 0.35
0.86377534 0.56 0.35
0.86 0.56500762 0.35
0.8559599099999999 0.5700000000000001 0.35
0.85 0.5766148 0.35
0.84673376 0.5800000000000001 0.35
0.84 0.5863001999999999 0.35
0.83577977 0.5900000000000001 0.35
0.83 0.59457737 0.35
0.8227279900000001 0.6 0.35
0.82 0.6018291 0.35
0.81 0.6081525 0.35
0.8068984 0.61 0.35
0.8 0.6136586100000001 0.35
0.79 0.61870481 0.35
0.78727273 0.62 0.35
0.78 0.62299767 0.35
0.77 0.6269268 0.35
0.76179687 0.63 0.35
0.76 0.63054615 0.35
0.75 0.63340038 0.35
0.74 0.63613724 0.35
0.73 0.63875417 0.35
0.7249284500000001 0.64 0.35
0.72 0.64059392 0.35
0.71 0.64172904 0.35
0.7 0.6428122599999999 0.35
0.69 0.64384003 0.35
0.68 0.64417685 0.35
0.67 0.6439412200000001 0.35
0.66 0.64358279 0.35
0.65 0.64297748 0.35
0.64 0.64176239 0.35

0.23 0.6448654899999999 0.35
0.22772258 0.64 0.35
0.222999 0.63 0.35
0.22 0.62372145 0.35
0.21839854 0.62 0.35
0.21409113000000002 0.61 0.35
0.21 0.60057485 0.35
0.20977575 0.6 0.35
0.20590315 0.5900000000000001 0.35
0.20202815999999998 0.5800000000000001 0.35
0.2 0.57474534 0.35
0.19835997 0.5700000000000001 0.35
0.19493503 0.56 0.35
0.19153213000000002 0.55 0.35
0.19 0.54545244 0.35
0.18835725 0.54 0.35
0.18538475999999998 0.53 0.35
0.18244907000000002 0.52 0.35
0.18 0.51154499 0.35
0.17959957 0.51 0.35
0.17705438 0.5 0.35
0.17455331999999998 0.49 0.35
0.17209672999999998 0.48 0.35
0.17 0.47130488000000004 0.35
0.16971831999999998 0.47 0.35
0.16760564 0.45999999999999996 0.35
0.16553927000000002 0.44999999999999996 0.35
0.16351915000000003 0.43999999999999995 0.35
0.16154523999999998 0.43000000000000005 0.35
0.16 0.42198462999999997 0.35
0.15965713999999998 0.42000000000000004 0.35
0.15797266000000001 0.41000000000000003 0.35
0.15633271 0.4 0.35
0.15473699999999999 0.39 0.35
0.15318522 0.38 0.35
0.15167711 0.37 0.35
0.15021236999999998 0.36 0.35
0.16 0.35525136 0.35
0.17 0.35513695 0.35
0.18 0.35647395000000004 0.35
0.19 0.35840216999999996 0.35
0.19879670000000002 0.36 0.35
0.2 0.36054737000000003 0.35
0.21 0.3646623200000001 0.35
0.22 0.36847028000000004 0.35
0.22450128 0.37 0.35
0.23 0.37259235 0.35
0.24 0.3767414 0.35
0.24901989 0.38 0.35
0.25 0.38045065999999994 0.35
0.25322127 0.38 0.35
0.26 0.37924422 0.35
0.27 0.3775971 0.35
0.28 0.37548697 0.35
0.29 0.3729624 0.35
0.3 0.37006342999999997 0.35
0.30019299 0.37 0.35
0.31 0.36765916 0.35
0.32 0.36505482 0.35
0.33 0.36225273 0.35
0.33752854 0.36 0.35
0.34 0.35970811 0.35
0.35 0.35845656000000004 0.35
0.36 0.3571541100000001 0.35
0.37 0.35580549000000006 0.35
0.38 0.3549424299999999 0.35
0.39 0.35489273 0.35
0.4 0.3547515 0.35
0.41 0.35106185 0.35
0.41141807999999996 0.36 0.35
