x y z
0.7357022603955158 0.5 0.31488295660074705
0.7338436776714444 0.5093999925173228 0.31863394605318185
0.7282972404590524 0.5186517415373642 0.3194599104713265
0.7191504193864602 0.5276093414513509 0.31787236027249
0.7065474652860286 0.5361315255576287 0.3146809392053186
0.6906871342725615 0.5440838939219355 0.3108634445472894
0.6718195532406432 0.5513410329446516 0.3074253433106206
0.6502422752140943 0.5577884932081842 0.30526842680416466
0.6262955867570341 0.5633245944126511 0.3050846534504389
0.600357141451489 0.5678620289349514 0.30728582114394976
0.5728360040748035 0.5713292387221365 0.3119737038128302
0.5441661994037386 0.5736715438046517 0.31894976409078946
0.5147998673844679 0.5748520046321204 0.3277592329511487
0.4852001326155321 0.5748520046321204 0.3377614897564539
0.45583380059626144 0.5736715438046517 0.34821714616260124
0.4271639959251965 0.5713292387221365 0.35838167275030147
0.399642858548511 0.5678620289349514 0.3675954379766687
0.3737044132429658 0.5633245944126511 0.3753604575721843
0.3497577247859057 0.5577884932081842 0.38139503346770376
0.32818044675935665 0.5513410329446516 0.3856590526198305
0.3093128657274386 0.5440838939219355 0.38834532222705137
0.2934525347139713 0.5361315255576287 0.38983608542142406
0.2808495806135397 0.5276093414513509 0.3906286057953743
0.2717027595409476 0.5186517415373642 0.39123884176311774
0.2661563223285556 0.5093999925173228 0.39209682792019557
0.2642977396044842 0.5 0.393450376732586
0.2661563223285556 0.4906000074826772 0.3952941842723576
0.2717027595409476 0.48134825846263585 0.3973388553840307
0.28084958061353976 0.47239065854864914 0.3990288479771622
0.29345253471397137 0.46386847444237134 0.3996106170425543
0.30931286572743866 0.4559161060780645 0.39824359909965734
0.3281804467593567 0.44865896705534836 0.39413868826361553
0.3497577247859058 0.4422115067918158 0.38670305123082355
0.37370441324296594 0.43667540558734885 0.3756676895932382
0.3996428585485111 0.43213797106504853 0.3611756653797814
0.4271639959251965 0.4286707612778635 0.34381422829035885
0.45583380059626144 0.4263284561953483 0.3245824055796015
0.4852001326155321 0.4251479953678796 0.30479559461729144
0.514799867384468 0.4251479953678796 0.28593870461527227
0.5441661994037387 0.42632845619534837 0.26948779139091494
0.5728360040748035 0.42867076127786347 0.25672553981731416
0.600357141451489 0.43213797106504853 0.24857746966130675
0.6262955867570341 0.43667540558734885 0.24549308184617658
0.6502422752140944 0.4422115067918158 0.2473896946531837
0.6718195532406434 0.44865896705534836 0.2536674261751193
0.6906871342725615 0.45591610607806454 0.26329311445519626
0.7065474652860286 0.46386847444237134 0.2749406337037679
0.7191504193864603 0.47239065854864914 0.2871667416608119
0.7282972404590524 0.4813482584626359 0.29859664278427245
0.7338436776714444 0.49060000748267724 0.3080926712930677
0.7357022603955158 0.5 0.31488295660074705
