x y z
0.89 0.642278 0.65
0.8892151800000001 0.64 0.65
0.89 0.63636245 0.65
0.89128886 0.63 0.65
0.89324205 0.62 0.65
0.89511738 0.61 0.65
0.8969187 0.6 0.65
0.89864962 0.5900000000000001 0.65
0.9 0.58190114 0.65
0.90029786 0.5800000000000001 0.65
0.9018174999999999 0.5700000000000001 0.65
0.9032782899999999 0.56 0.65
0.9046829599999999 0.55 0.65
0.9060340100000001 0.54 0.65
0.90733383 0.53 0.65
0.90858463 0.52 0.65
0.90978849 0.51 0.65
0.91 0.5081884000000001 0.65
0.91089956 0.5 0.65
0.9119585499999999 0.49 0.65
0.9129777699999999 0.48 0.65
0.91395881 0.47 0.65
0.9149031700000001 0.45999999999999996 0.65
0.9158122299999999 0.44999999999999996 0.65
0.9166873200000001 0.43999999999999995 0.65
0.91752969 0.43000000000000005 0.65
0.9183405 0.42000000000000004 0.65
0.9191208500000001 0.41000000000000003 0.65
0.9198717999999999 0.4 0.65
0.92 0.39823531999999995 0.65
0.9205641400000001 0.39 0.65
0.92122371 0.38 0.65
0.92185785 0.37 0.65
0.92246736 0.36 0.65
0.93 0.35472997000000006 0.65
0.94 0.3566608600000001 0.65
0.94855007 0.36 0.65
0.95 0.36142493 0.65
0.9586425300000001 0.37 0.65
0.96 0.37181376999999993 0.65
0.96601951 0.38 0.65
0.97 0.38662861000000004 0.65
0.9719814 0.39 0.65
0.97691642 0.4 0.65
0.98 0.40725392000000005 0.65
0.98113739 0.41000000000000003 0.65
0.98468008 0.42000000000000004 0.65
0.9877496499999999 0.43000000000000005 0.65
0.99 0.43857241 0.65
0.99036388 0.43999999999999995 0.65
0.9924750899999999 0.44999999999999996 0.65
0.99420028 0.45999999999999996 0.65
0.9955434 0.47 0.65
0.9965026899999999 0.48 0.65
0.99707167 0.49 0.65
0.9972396299999999 0.5 0.65
0.99699189 0.51 0.65
0.9963097999999999 0.52 0.65
0.99517053 0.53 0.65
0.99354663 0.54 0.65
0.99140523 0.55 0.65
0.99 0.5552273400000001 0.65
0.98864395 0.56 0.65
0.98518163 0.5700000000000001 0.65
0.9810255600000001 0.5800000000000001 0.65
0.98 0.5820845400000001 0.65
0.97590739 0.5900000000000001 0.65
0.97 0.5997092900000001 0.65
0.96981458 0.6 0.65
0.9623103199999999 0.61 0.65
0.96 0.61258289 0.65
0.95310716 0.62 0.65
0.95 0.62272591 0.65
0.94145101 0.63 0.65
0.94 0.6309312300000001 0.65
0.93 0.6371868599999999 0.65
0.9254152000000001 0.64 0.65
0.92 0.64141819 0.65
0.91 0.64402296 0.65
0.9 0.6446451 0.65
0.89 0.642278 0.65
