problem planner-seedless gf path-length-num path-length-numinf path-length-numfin path-length-finmean path-length-stderrfinmean num-checks-num num-checks-numinf num-checks-numfin num-checks-finmean num-checks-stderrfinmean python-totaltime-num python-totaltime-numinf python-totaltime-numfin python-totaltime-finmean python-totaltime-stderrfinmean planner-dur-total-num planner-dur-total-numinf planner-dur-total-numfin planner-dur-total-finmean planner-dur-total-stderrfinmean planner-dur-roadmapgen-num planner-dur-roadmapgen-numinf planner-dur-roadmapgen-numfin planner-dur-roadmapgen-finmean planner-dur-roadmapgen-stderrfinmean planner-dur-search-num planner-dur-search-numinf planner-dur-search-numfin planner-dur-search-finmean planner-dur-search-stderrfinmean planner-dur-eval-num planner-dur-eval-numinf planner-dur-eval-numfin planner-dur-eval-finmean planner-dur-eval-stderrfinmean
workcellij incbi-lambda0.99-even-gf0.01 0.01 50 0 50 8.123728086939998 0.18172215561294677 50 0 50 1432.5 61.3219157148468 50 0 50 2.3445318603512 0.27619797002953844 50 0 50 2.3397111788199996 0.27619501355821396 50 0 50 0.48790170193999993 0.035762979928799184 50 0 50 0.9171282977200002 0.1920760304215109 50 0 50 0.67132303464 0.03367531397799658
workcellij incbi-lambda0.99-even-gf0.10 0.10 50 0 50 8.123728086939998 0.18172215561294677 50 0 50 1432.5 61.3219157148468 50 0 50 2.31314442157726 0.26645259107468233 50 0 50 2.30827045446 0.2664489465225533 50 0 50 0.4865263838599999 0.03347814632098055 50 0 50 0.8795237897199998 0.18280900525366506 50 0 50 0.6741577545400002 0.032879920614541536
workcellij incbi-lambda0.99-even-gf0.20 0.20 50 0 50 8.123728086939998 0.18172215561294677 50 0 50 1432.5 61.3219157148468 50 0 50 2.15125163555202 0.22310541095778827 50 0 50 2.14632032422 0.22310339842189147 50 0 50 0.5039593254799999 0.037697286178166506 50 0 50 0.7172925431999999 0.13972223980045334 50 0 50 0.6630451251199999 0.03108536966433843
workcellij incbi-lambda0.99-even-gf0.30 0.30 50 0 50 8.123728086939998 0.18172215561294677 50 0 50 1432.5 61.3219157148468 50 0 50 1.9143690824506203 0.16602420481650093 50 0 50 1.909451583499999 0.16601940871298823 50 0 50 0.48963207620000004 0.03385792018278948 50 0 50 0.4980197391200001 0.08705389448243107 50 0 50 0.6688921528599998 0.03050754425160165
workcellij incbi-lambda0.99-even-gf0.40 0.40 50 0 50 8.123728086939998 0.18172215561294677 50 0 50 1432.5 61.3219157148468 50 0 50 1.7066926097867998 0.13144271177746059 50 0 50 1.7018776495800003 0.13144680660259583 50 0 50 0.4837137048400002 0.03418820320830427 50 0 50 0.33343524182 0.052509668072625575 50 0 50 0.65175804538 0.02973011358581211
workcellij incbi-lambda0.99-even-gf0.50 0.50 50 0 50 8.123728086939998 0.18172215561294677 50 0 50 1432.5 61.3219157148468 50 0 50 1.5603156280517403 0.10576607138437309 50 0 50 1.5555425250200003 0.10575651305747072 50 0 50 0.48841197192 0.03594222346159652 50 0 50 0.21651464258 0.03066776935552125 50 0 50 0.64821980976 0.02933268041342495
workcellij incbi-lambda0.99-even-gf0.60 0.60 50 0 50 8.123728086939998 0.18172215561294677 50 0 50 1432.5 61.3219157148468 50 0 50 1.5364098167419993 0.09141517834538343 50 0 50 1.5315022469800001 0.0913983415387798 50 0 50 0.49144140406 0.03473261277991517 50 0 50 0.17985818564 0.019763239357789474 50 0 50 0.6653977525200001 0.029419137278255743
workcellij incbi-lambda0.99-even-gf0.70 0.70 50 0 50 8.123728086939998 0.18172215561294677 50 0 50 1432.5 61.3219157148468 50 0 50 1.50756394863124 0.08806466394122403 50 0 50 1.50271829288 0.08805025964189186 50 0 50 0.4823426181199999 0.03419355185894441 50 0 50 0.18234310619999994 0.01929703360436768 50 0 50 0.6472315330400003 0.028749996551241375
workcellij incbi-lambda0.99-even-gf0.80 0.80 50 0 50 8.123728086939998 0.18172215561294677 50 0 50 1432.5 61.3219157148468 50 0 50 1.5300277185440592 0.09300821351899724 50 0 50 1.52520990228 0.09298852557804728 50 0 50 0.4926054188399997 0.037632495272203775 50 0 50 0.1907520076400001 0.02011619190529816 50 0 50 0.65316365352 0.028576250027876362
workcellij incbi-lambda0.99-even-gf0.90 0.90 50 0 50 8.123728086939998 0.18172215561294677 50 0 50 1432.5 61.3219157148468 50 0 50 1.5228526449198199 0.08811289352183223 50 0 50 1.5179312782399996 0.08811296833386245 50 0 50 0.49065156952 0.03427854001422028 50 0 50 0.19326412906 0.019223123889658543 50 0 50 0.6478365219600001 0.028669413026510954
workcellij incbi-lambda0.99-even-gf0.99 0.99 50 0 50 8.123728086939998 0.18172215561294677 50 0 50 1432.5 61.3219157148468 50 0 50 1.5667663192744001 0.09061298207195846 50 0 50 1.5619010656599994 0.09060789648973507 50 0 50 0.4892172398 0.03413085055123 50 0 50 0.22331245017999998 0.02230284559961349 50 0 50 0.6615727632999999 0.029540579075740127
