problem planner-seedless gf path-length-num path-length-numinf path-length-numfin path-length-finmean path-length-stderrfinmean num-checks-num num-checks-numinf num-checks-numfin num-checks-finmean num-checks-stderrfinmean python-totaltime-num python-totaltime-numinf python-totaltime-numfin python-totaltime-finmean python-totaltime-stderrfinmean planner-dur-total-num planner-dur-total-numinf planner-dur-total-numfin planner-dur-total-finmean planner-dur-total-stderrfinmean planner-dur-roadmapgen-num planner-dur-roadmapgen-numinf planner-dur-roadmapgen-numfin planner-dur-roadmapgen-finmean planner-dur-roadmapgen-stderrfinmean planner-dur-search-num planner-dur-search-numinf planner-dur-search-numfin planner-dur-search-finmean planner-dur-search-stderrfinmean planner-dur-eval-num planner-dur-eval-numinf planner-dur-eval-numfin planner-dur-eval-finmean planner-dur-eval-stderrfinmean
herbbin0 incbi-rev-gf0.01 0.01 50 0 50 5.463106110048799 0.07506272076825574 50 0 50 4068.98 340.6950105239559 50 0 50 1.7151551866528802 0.11831337019761815 50 0 50 1.70441607608 0.11831145347603923 50 0 50 0.2147262082400001 0.0020978291083458924 50 0 50 0.06844413335999999 0.004152206552408446 50 0 50 1.34358097786 0.11313351565905648
herbbin0 incbi-rev-gf0.10 0.10 50 0 50 5.463106110048799 0.07506272076825574 50 0 50 4068.98 340.6950105239559 50 0 50 1.68833265304522 0.1148869419069282 50 0 50 1.6776127481400003 0.11488024196209107 50 0 50 0.21106098980000002 0.0012699938700554835 50 0 50 0.06911515575999999 0.003966124416807735 50 0 50 1.3220663476799999 0.11032250108221273
herbbin0 incbi-rev-gf0.20 0.20 50 0 50 5.463106110048799 0.07506272076825574 50 0 50 4068.98 340.6950105239559 50 0 50 1.6894110298154998 0.11436145890448392 50 0 50 1.6786140851599998 0.11436384606620682 50 0 50 0.21194171045999988 0.00204181602534696 50 0 50 0.06278999304 0.0032993798708313505 50 0 50 1.3279366993800006 0.11031457889569092
herbbin0 incbi-rev-gf0.30 0.30 50 0 50 5.463106110048799 0.07506272076825574 50 0 50 4068.98 340.6950105239559 50 0 50 1.6895792102812999 0.1157070517253644 50 0 50 1.6787476131399999 0.11569503092484257 50 0 50 0.21202052510000002 0.0019356248876704878 50 0 50 0.05850189746 0.0030198971451129986 50 0 50 1.33227260378 0.1111798617668817
herbbin0 incbi-rev-gf0.40 0.40 50 0 50 5.463106110048799 0.07506272076825574 50 0 50 4068.98 340.6950105239559 50 0 50 1.6939230060580204 0.11550243483695492 50 0 50 1.6831196279799996 0.1154791679559918 50 0 50 0.21296094380000002 0.0020452515296295343 50 0 50 0.05863292352000001 0.0020318339812965183 50 0 50 1.3358607738400001 0.11196793168907578
herbbin0 incbi-rev-gf0.50 0.50 50 0 50 5.463106110048799 0.07506272076825574 50 0 50 4068.98 340.6950105239559 50 0 50 1.6669767951964796 0.11101381631878741 50 0 50 1.6561426808999997 0.1110181741372284 50 0 50 0.21193280632 0.001161913601657595 50 0 50 0.055329788560000016 0.0012690977467648252 50 0 50 1.3142968446200003 0.10881652608326337
herbbin0 incbi-rev-gf0.60 0.60 50 0 50 5.463106110048799 0.07506272076825574 50 0 50 4068.98 340.6950105239559 50 0 50 1.6884161853795407 0.11318678498534057 50 0 50 1.6777536175799996 0.11317876631042496 50 0 50 0.21147592383999997 0.0013452456442370284 50 0 50 0.06830224701999998 0.0021179053673604136 50 0 50 1.3225909514599996 0.11023330667289816
herbbin0 incbi-rev-gf0.70 0.70 50 0 50 5.463106110048799 0.07506272076825574 50 0 50 4068.98 340.6950105239559 50 0 50 1.7006789588924596 0.1121184542067873 50 0 50 1.68985784606 0.11212300078835312 50 0 50 0.20926143716 0.001091155029979863 50 0 50 0.08606833313999998 0.0030216935818078027 50 0 50 1.31893334174 0.10851688723420869
herbbin0 incbi-rev-gf0.80 0.80 50 0 50 5.463106110048799 0.07506272076825574 50 0 50 4068.98 340.6950105239559 50 0 50 1.7128679656983001 0.11343014379134114 50 0 50 1.70212904442 0.11342863072071163 50 0 50 0.21083277192000005 0.0013719217365945526 50 0 50 0.09574148897999998 0.0031506657575771603 50 0 50 1.3204572548399998 0.10926010624276412
herbbin0 incbi-rev-gf0.90 0.90 50 0 50 5.463106110048799 0.07506272076825574 50 0 50 4068.98 340.6950105239559 50 0 50 1.7444255876536996 0.11506831059100409 50 0 50 1.7335975662000005 0.11503507143272083 50 0 50 0.21385000916 0.002193550828799668 50 0 50 0.10032837316000004 0.003100524403041774 50 0 50 1.3436215100000002 0.1108538529695151
herbbin0 incbi-rev-gf0.99 0.99 50 0 50 5.463106110048799 0.07506272076825574 50 0 50 4068.98 340.6950105239559 50 0 50 1.7402878713610404 0.12334484612035936 50 0 50 1.7286605462599995 0.1232855690278449 50 0 50 0.211133313 0.001269903948200039 50 0 50 0.09899714476 0.0031513152983904057 50 0 50 1.3419818331000002 0.11895023376227527
