problem planner-seedless gf path-length-num path-length-numinf path-length-numfin path-length-finmean path-length-stderrfinmean num-checks-num num-checks-numinf num-checks-numfin num-checks-finmean num-checks-stderrfinmean python-totaltime-num python-totaltime-numinf python-totaltime-numfin python-totaltime-finmean python-totaltime-stderrfinmean planner-dur-total-num planner-dur-total-numinf planner-dur-total-numfin planner-dur-total-finmean planner-dur-total-stderrfinmean planner-dur-roadmapgen-num planner-dur-roadmapgen-numinf planner-dur-roadmapgen-numfin planner-dur-roadmapgen-finmean planner-dur-roadmapgen-stderrfinmean planner-dur-search-num planner-dur-search-numinf planner-dur-search-numfin planner-dur-search-finmean planner-dur-search-stderrfinmean planner-dur-eval-num planner-dur-eval-numinf planner-dur-eval-numfin planner-dur-eval-finmean planner-dur-eval-stderrfinmean
workcellij incbi-bisect-gf0.01 0.01 50 0 50 7.191442242836404 0.11750069155582607 50 0 50 15487.42 801.2281649557555 50 0 50 8.821797509193802 0.5931478252625174 50 0 50 8.81689327046 0.593148995216334 50 0 50 0.47735774370000006 0.032563308128492306 50 0 50 1.05313316458 0.2163968188984098 50 0 50 7.051874641560002 0.36391401614134217
workcellij incbi-bisect-gf0.10 0.10 50 0 50 7.191442242836404 0.11750069155582607 50 0 50 15487.42 801.2281649557555 50 0 50 8.9040983724568 0.6151865164199308 50 0 50 8.89908520802 0.6151832647236792 50 0 50 0.49784663507999993 0.03993221819566181 50 0 50 1.0750387167600004 0.22403525980225913 50 0 50 7.09169536938 0.37510394503181116
workcellij incbi-bisect-gf0.20 0.20 50 0 50 7.191442242836404 0.11750069155582607 50 0 50 15487.42 801.2281649557555 50 0 50 8.7188181829432 0.5662566224674143 50 0 50 8.713547813239998 0.5662679769857066 50 0 50 0.49675530044000005 0.03829947041626638 50 0 50 0.8855399592999997 0.1743058191836582 50 0 50 7.0991811349999985 0.37062976708734513
workcellij incbi-bisect-gf0.30 0.30 50 0 50 7.191442242836404 0.11750069155582607 50 0 50 15487.42 801.2281649557555 50 0 50 8.439899673464 0.5138539237054037 50 0 50 8.434984004939999 0.5138527719067199 50 0 50 0.4926715137400002 0.0376190755563427 50 0 50 0.6554387176 0.11878292362231296 50 0 50 7.054640382000001 0.3681398737731452
workcellij incbi-bisect-gf0.40 0.40 50 0 50 7.191442242836404 0.11750069155582607 50 0 50 15487.42 801.2281649557555 50 0 50 8.228957710263 0.46470598719352324 50 0 50 8.22399160024 0.4647046931433585 50 0 50 0.48872432827999984 0.035263191617357754 50 0 50 0.43814269574000003 0.07008439604744321 50 0 50 7.072519384339999 0.36512687470825506
workcellij incbi-bisect-gf0.50 0.50 50 0 50 7.191442242836404 0.11750069155582607 50 0 50 15487.42 801.2281649557555 50 0 50 8.0486934232696 0.4366029728567514 50 0 50 8.04380692262 0.43659863476174504 50 0 50 0.48613132956 0.03586562307789693 50 0 50 0.2815910407800001 0.04126959530721209 50 0 50 7.06845985704 0.36393957379917763
workcellij incbi-bisect-gf0.60 0.60 50 0 50 7.191442242836404 0.11750069155582607 50 0 50 15487.42 801.2281649557555 50 0 50 7.996460533142199 0.42429716181715044 50 0 50 7.991464955380001 0.4242934927266454 50 0 50 0.4885116197800001 0.03373004536722467 50 0 50 0.21255078153999998 0.023724110088978276 50 0 50 7.0915529109 0.3725458783065936
workcellij incbi-bisect-gf0.70 0.70 50 0 50 7.191442242836404 0.11750069155582607 50 0 50 15487.42 801.2281649557555 50 0 50 8.015377583503 0.431234977490053 50 0 50 8.010440590580002 0.43122371497039147 50 0 50 0.49328290214 0.0358637620013511 50 0 50 0.24214062171999992 0.02485672816758027 50 0 50 7.073225850899998 0.37346567426548277
workcellij incbi-bisect-gf0.80 0.80 50 0 50 7.191442242836404 0.11750069155582607 50 0 50 15487.42 801.2281649557555 50 0 50 7.9946621465708 0.41994724743139367 50 0 50 7.989728294260001 0.4199472293629669 50 0 50 0.4848173438200001 0.0333083411905408 50 0 50 0.25479231162000004 0.02589586874037754 50 0 50 7.053467737700001 0.3655544298589356
workcellij incbi-bisect-gf0.90 0.90 50 0 50 7.191442242836404 0.11750069155582607 50 0 50 15487.42 801.2281649557555 50 0 50 8.029060916899997 0.42665724715924 50 0 50 8.02409796876 0.4266593409276001 50 0 50 0.48700526602000005 0.034747327960214076 50 0 50 0.25498779674 0.02549511058266555 50 0 50 7.086136371259999 0.37193146109835584
workcellij incbi-bisect-gf0.99 0.99 50 0 50 7.191442242836404 0.11750069155582607 50 0 50 15487.42 801.2281649557555 50 0 50 7.9749595499008 0.4168284694378989 50 0 50 7.96951603028 0.4169078446491137 50 0 50 0.48376891395999977 0.03408229386580149 50 0 50 0.25155757498 0.024740422462950315 50 0 50 7.034941324839999 0.36357331240236246
