problem planner-seedless gf path-length-num path-length-numinf path-length-numfin path-length-finmean path-length-stderrfinmean num-checks-num num-checks-numinf num-checks-numfin num-checks-finmean num-checks-stderrfinmean python-totaltime-num python-totaltime-numinf python-totaltime-numfin python-totaltime-finmean python-totaltime-stderrfinmean planner-dur-total-num planner-dur-total-numinf planner-dur-total-numfin planner-dur-total-finmean planner-dur-total-stderrfinmean planner-dur-roadmapgen-num planner-dur-roadmapgen-numinf planner-dur-roadmapgen-numfin planner-dur-roadmapgen-finmean planner-dur-roadmapgen-stderrfinmean planner-dur-search-num planner-dur-search-numinf planner-dur-search-numfin planner-dur-search-finmean planner-dur-search-stderrfinmean planner-dur-eval-num planner-dur-eval-numinf planner-dur-eval-numfin planner-dur-eval-finmean planner-dur-eval-stderrfinmean
workcellij wincbi-fwd-gf0.01-hi1.00 0.01 50 0 50 7.191442242836404 0.11750069155582607 50 0 50 3539.62 270.23403747908014 50 0 50 2.7672957086559995 0.19732364356583354 50 0 50 2.76236535908 0.1973020889379943 50 0 50 0.5987222708400001 0.04993405063271948 50 0 50 0.34554473446 0.04824330562742016 50 0 50 1.5983420837 0.12386841750138633
workcellij wincbi-fwd-gf0.10-hi1.00 0.10 50 0 50 7.191442242836404 0.11750069155582607 50 0 50 3539.62 270.23403747908014 50 0 50 2.92894936561642 0.2051939159428528 50 0 50 2.924104054800001 0.20518388255883202 50 0 50 0.5917515881600002 0.04796723464194446 50 0 50 0.49697212434000015 0.060291110626283714 50 0 50 1.5981554835799998 0.12292156393592923
workcellij wincbi-fwd-gf0.20-hi1.00 0.20 50 0 50 7.191442242836404 0.11750069155582607 50 0 50 3539.62 270.23403747908014 50 0 50 3.007795004844799 0.20390903057257828 50 0 50 3.00292962788 0.2039021738201435 50 0 50 0.5955668173199998 0.04685024213570389 50 0 50 0.58331420756 0.06539992938279687 50 0 50 1.6055371569999999 0.1219657984221084
workcellij wincbi-fwd-gf0.30-hi1.00 0.30 50 0 50 7.191442242836404 0.11750069155582607 50 0 50 3539.62 270.23403747908014 50 0 50 2.9324147939688006 0.19569902571816156 50 0 50 2.92761028192 0.1956905764725465 50 0 50 0.59181858512 0.044061352787545305 50 0 50 0.5660159769399999 0.06274149149348776 50 0 50 1.58428797134 0.12153879105978124
workcellij wincbi-fwd-gf0.40-hi1.00 0.40 50 0 50 7.191442242836404 0.11750069155582607 50 0 50 3539.62 270.23403747908014 50 0 50 2.9274311542507996 0.19474807419604198 50 0 50 2.9225865344199997 0.19474049462993342 50 0 50 0.5902567692600001 0.046180984447139556 50 0 50 0.56111914486 0.060447544742736795 50 0 50 1.5963438366799998 0.12061008104598246
workcellij wincbi-fwd-gf0.50-hi1.00 0.50 50 0 50 7.191442242836404 0.11750069155582607 50 0 50 3539.62 270.23403747908014 50 0 50 2.9251163864138006 0.1942678201993677 50 0 50 2.9202769200399996 0.19426936122856167 50 0 50 0.5937096869599999 0.047383732116276424 50 0 50 0.5608309540599999 0.060188656519835716 50 0 50 1.59230461826 0.1219169944123271
workcellij wincbi-fwd-gf0.60-hi1.00 0.60 50 0 50 7.191442242836404 0.11750069155582607 50 0 50 3539.62 270.23403747908014 50 0 50 2.9279341459281993 0.200579191397748 50 0 50 2.923056676459999 0.20057042160714578 50 0 50 0.5915508546799998 0.04717608381302079 50 0 50 0.5664508322600001 0.0646825688599306 50 0 50 1.5911848088599998 0.1227917735412902
workcellij wincbi-fwd-gf0.70-hi1.00 0.70 50 0 50 7.191442242836404 0.11750069155582607 50 0 50 3539.62 270.23403747908014 50 0 50 2.9290968465798 0.20199899318542075 50 0 50 2.9242534200600003 0.20198358956032927 50 0 50 0.58497393218 0.045816747773416246 50 0 50 0.5673652709 0.06510482440080133 50 0 50 1.59904089304 0.12458049188508652
workcellij wincbi-fwd-gf0.80-hi1.00 0.80 50 0 50 7.191442242836404 0.11750069155582607 50 0 50 3539.62 270.23403747908014 50 0 50 2.9251289606094004 0.20002952110811212 50 0 50 2.9202211897399986 0.20001420956230712 50 0 50 0.5912741311399998 0.04697377917628165 50 0 50 0.5613411725999999 0.06273747101274613 50 0 50 1.59451255786 0.12185679588531133
workcellij wincbi-fwd-gf0.90-hi1.00 0.90 50 0 50 7.191442242836404 0.11750069155582607 50 0 50 3539.62 270.23403747908014 50 0 50 2.9368927717212006 0.19848591231670348 50 0 50 2.9320962591599993 0.1984879475105576 50 0 50 0.5862807924199999 0.04477601247133296 50 0 50 0.57074949786 0.06596032927919797 50 0 50 1.6027571031799999 0.12172532586398607
workcellij wincbi-fwd-gf0.99-hi1.00 0.99 50 0 50 7.191442242836404 0.11750069155582607 50 0 50 3539.62 270.23403747908014 50 0 50 2.9096854162215986 0.19896281751456346 50 0 50 2.90480694134 0.19895363384201156 50 0 50 0.57825663038 0.04191483933123264 50 0 50 0.5667522156199999 0.06534385296086478 50 0 50 1.5872603118800002 0.12188981240720073
