problem planner-seedless gf path-length-num path-length-numinf path-length-numfin path-length-finmean path-length-stderrfinmean num-checks-num num-checks-numinf num-checks-numfin num-checks-finmean num-checks-stderrfinmean python-totaltime-num python-totaltime-numinf python-totaltime-numfin python-totaltime-finmean python-totaltime-stderrfinmean planner-dur-total-num planner-dur-total-numinf planner-dur-total-numfin planner-dur-total-finmean planner-dur-total-stderrfinmean planner-dur-roadmapgen-num planner-dur-roadmapgen-numinf planner-dur-roadmapgen-numfin planner-dur-roadmapgen-finmean planner-dur-roadmapgen-stderrfinmean planner-dur-search-num planner-dur-search-numinf planner-dur-search-numfin planner-dur-search-finmean planner-dur-search-stderrfinmean planner-dur-eval-num planner-dur-eval-numinf planner-dur-eval-numfin planner-dur-eval-finmean planner-dur-eval-stderrfinmean
workcellij wincbi-rev-gf0.01 0.01 50 0 50 7.191442242836404 0.11750069155582607 50 0 50 27038.18 2698.7873049386385 50 0 50 13.154036750793 1.3877958892635658 50 0 50 13.149090389120003 1.38780010759647 50 0 50 0.4800114313199998 0.03361274166217329 50 0 50 0.7814336158000001 0.18816973870625556 50 0 50 11.63825964934 1.1716535960285053
workcellij wincbi-rev-gf0.10 0.10 50 0 50 7.191442242836404 0.11750069155582607 50 0 50 27038.18 2698.7873049386385 50 0 50 13.239005184172404 1.3980612174460796 50 0 50 13.23369197812 1.398061197972373 50 0 50 0.5050106815000001 0.038238230482027055 50 0 50 0.7491094540999998 0.1761378120228815 50 0 50 11.721332152579999 1.1846612220229114
workcellij wincbi-rev-gf0.20 0.20 50 0 50 7.191442242836404 0.11750069155582607 50 0 50 27038.18 2698.7873049386385 50 0 50 13.02247701645 1.3337234149160646 50 0 50 13.017195720040005 1.3336976096120916 50 0 50 0.5032400191800002 0.03739185904827876 50 0 50 0.5824124697399999 0.12510941496242564 50 0 50 11.677173831480001 1.1685300857973233
workcellij wincbi-rev-gf0.30 0.30 50 0 50 7.191442242836404 0.11750069155582607 50 0 50 27038.18 2698.7873049386385 50 0 50 12.876742596629997 1.316878886659508 50 0 50 12.871774883459999 1.316873715967067 50 0 50 0.5014042061199999 0.041068212267071344 50 0 50 0.4390559679799999 0.08593401700473405 50 0 50 11.671941712780004 1.1823659537900153
workcellij wincbi-rev-gf0.40 0.40 50 0 50 7.191442242836404 0.11750069155582607 50 0 50 27038.18 2698.7873049386385 50 0 50 12.791391873356396 1.2887820363800584 50 0 50 12.786157034540004 1.2887825998224434 50 0 50 0.49447427514000003 0.03490068193028657 50 0 50 0.33740052614 0.055129177534571756 50 0 50 11.683573530720002 1.188980218734844
workcellij wincbi-rev-gf0.50 0.50 50 0 50 7.191442242836404 0.11750069155582607 50 0 50 27038.18 2698.7873049386385 50 0 50 12.688048892021202 1.2517934694616693 50 0 50 12.682935586679996 1.2518085720456833 50 0 50 0.4954189694000001 0.035511388267423075 50 0 50 0.25491537648000007 0.037210623046748374 50 0 50 11.660512475099997 1.1671288389198213
workcellij wincbi-rev-gf0.60 0.60 50 0 50 7.191442242836404 0.11750069155582607 50 0 50 27038.18 2698.7873049386385 50 0 50 12.626526799204603 1.2401837172926138 50 0 50 12.621200962180001 1.2401787567944367 50 0 50 0.4880786117400001 0.03355279990079282 50 0 50 0.24451640239999992 0.030788856804063083 50 0 50 11.61949114214 1.1645651356827333
workcellij wincbi-rev-gf0.70 0.70 50 0 50 7.191442242836404 0.11750069155582607 50 0 50 27038.18 2698.7873049386385 50 0 50 12.766505541797 1.2589991530066356 50 0 50 12.761002677780002 1.2589998138095468 50 0 50 0.49067501246000006 0.03527778273341949 50 0 50 0.28995771727999997 0.035510728411387756 50 0 50 11.7001038992 1.1774001745668543
workcellij wincbi-rev-gf0.80 0.80 50 0 50 7.191442242836404 0.11750069155582607 50 0 50 27038.18 2698.7873049386385 50 0 50 12.828028578758602 1.2501946577278726 50 0 50 12.822869050319998 1.2501724567097678 50 0 50 0.4912674018799999 0.03484827763155827 50 0 50 0.3336844198399999 0.03926737237336641 50 0 50 11.740547870599997 1.1682169427017555
workcellij wincbi-rev-gf0.90 0.90 50 0 50 7.191442242836404 0.11750069155582607 50 0 50 27038.18 2698.7873049386385 50 0 50 12.738518638615 1.2442217648816967 50 0 50 12.7333280531 1.2442515083963692 50 0 50 0.4901338856399999 0.035293916547811915 50 0 50 0.35239254857999996 0.04209890861416087 50 0 50 11.637816616959999 1.1618029749150198
workcellij wincbi-rev-gf0.99 0.99 50 0 50 7.191442242836404 0.11750069155582607 50 0 50 27038.18 2698.7873049386385 50 0 50 12.747011418343202 1.2517560865496176 50 0 50 12.74208434112 1.2517534804273758 50 0 50 0.48715651988 0.0352768825008237 50 0 50 0.361492505 0.04118147933950267 50 0 50 11.648764223139997 1.1696621669309644
