problem planner-seedless gf path-length-num path-length-numinf path-length-numfin path-length-finmean path-length-stderrfinmean num-checks-num num-checks-numinf num-checks-numfin num-checks-finmean num-checks-stderrfinmean python-totaltime-num python-totaltime-numinf python-totaltime-numfin python-totaltime-finmean python-totaltime-stderrfinmean planner-dur-total-num planner-dur-total-numinf planner-dur-total-numfin planner-dur-total-finmean planner-dur-total-stderrfinmean planner-dur-roadmapgen-num planner-dur-roadmapgen-numinf planner-dur-roadmapgen-numfin planner-dur-roadmapgen-finmean planner-dur-roadmapgen-stderrfinmean planner-dur-search-num planner-dur-search-numinf planner-dur-search-numfin planner-dur-search-finmean planner-dur-search-stderrfinmean planner-dur-eval-num planner-dur-eval-numinf planner-dur-eval-numfin planner-dur-eval-finmean planner-dur-eval-stderrfinmean
herbbookshelf0 incbi-fwd-gf0.01 0.01 50 0 50 4.9175458462794 0.047745246543316064 50 0 50 4544.84 457.8896715523137 50 0 50 1.8818688154217398 0.1426821932816414 50 0 50 1.87075660966 0.14268244800501173 50 0 50 0.25260960006 0.008737836844201211 50 0 50 0.078112388 0.004884960561760286 50 0 50 1.4508247823599996 0.14244338201761875
herbbookshelf0 incbi-fwd-gf0.10 0.10 50 0 50 4.9175458462794 0.047745246543316064 50 0 50 4544.84 457.8896715523137 50 0 50 1.8745106077190394 0.14250607205898383 50 0 50 1.86328518916 0.14249150487947382 50 0 50 0.25030776808000005 0.007630457551748957 50 0 50 0.07537694509999998 0.004760469356850151 50 0 50 1.4489196906599995 0.14224813454808363
herbbookshelf0 incbi-fwd-gf0.20 0.20 50 0 50 4.9175458462794 0.047745246543316064 50 0 50 4544.84 457.8896715523137 50 0 50 1.8497699022293401 0.14280080228192824 50 0 50 1.8385356880200003 0.14279531355220237 50 0 50 0.24668922944000002 0.006839857287060026 50 0 50 0.06819207054000001 0.00403141373658543 50 0 50 1.43420719372 0.1427233905136957
herbbookshelf0 incbi-fwd-gf0.30 0.30 50 0 50 4.9175458462794 0.047745246543316064 50 0 50 4544.84 457.8896715523137 50 0 50 1.8870049571995802 0.14793490776883358 50 0 50 1.87568256366 0.14790314604284832 50 0 50 0.25182755881999996 0.0070374919919029 50 0 50 0.07069922347999999 0.00426147811531995 50 0 50 1.4632436369800002 0.14670924530822013
herbbookshelf0 incbi-fwd-gf0.40 0.40 50 0 50 4.9175458462794 0.047745246543316064 50 0 50 4544.84 457.8896715523137 50 0 50 1.88259102344556 0.14298849217340365 50 0 50 1.8714217522199994 0.14298015464660557 50 0 50 0.24894992370000005 0.007491401333932407 50 0 50 0.08196056694 0.004507325414643419 50 0 50 1.4523431689400004 0.14175132402118798
herbbookshelf0 incbi-fwd-gf0.50 0.50 50 0 50 4.9175458462794 0.047745246543316064 50 0 50 4544.84 457.8896715523137 50 0 50 1.89527101993544 0.14709080127861388 50 0 50 1.8840688424799998 0.14708318365608564 50 0 50 0.24462804725999995 0.007101590583460766 50 0 50 0.08928292307999999 0.0042191950790767515 50 0 50 1.4606372684600002 0.14702639451948032
herbbookshelf0 incbi-fwd-gf0.60 0.60 50 0 50 4.9175458462794 0.047745246543316064 50 0 50 4544.84 457.8896715523137 50 0 50 1.8875316810607603 0.14612268029034833 50 0 50 1.87653703278 0.14611661440411078 50 0 50 0.24483452882 0.006994077429228373 50 0 50 0.09488183150000001 0.005047612407196847 50 0 50 1.4482200969400003 0.14531329223649614
herbbookshelf0 incbi-fwd-gf0.70 0.70 50 0 50 4.9175458462794 0.047745246543316064 50 0 50 4544.84 457.8896715523137 50 0 50 1.9105660963059394 0.14403279417332016 50 0 50 1.8992962781000005 0.14403609537789772 50 0 50 0.2507653473 0.007944882651757948 50 0 50 0.10904362482000002 0.005199320619343209 50 0 50 1.4503835118000004 0.14237421743316264
herbbookshelf0 incbi-fwd-gf0.80 0.80 50 0 50 4.9175458462794 0.047745246543316064 50 0 50 4544.84 457.8896715523137 50 0 50 1.8908873271942002 0.14375571823122765 50 0 50 1.8797762920599999 0.14375400896257481 50 0 50 0.2404767360000001 0.006148672810352941 50 0 50 0.11603228764000002 0.004504806055951843 50 0 50 1.4362112698600003 0.1425107409984797
herbbookshelf0 incbi-fwd-gf0.90 0.90 50 0 50 4.9175458462794 0.047745246543316064 50 0 50 4544.84 457.8896715523137 50 0 50 1.9209227895733798 0.1452569293906116 50 0 50 1.9097522248999996 0.14524019686029965 50 0 50 0.24656996512000004 0.0066441846603662365 50 0 50 0.12198051798000002 0.004949786318492895 50 0 50 1.45166054264 0.1438704152216461
herbbookshelf0 incbi-fwd-gf0.99 0.99 50 0 50 4.9175458462794 0.047745246543316064 50 0 50 4544.84 457.8896715523137 50 0 50 1.93076415538816 0.1442902634982814 50 0 50 1.9194771380400004 0.14428013430955158 50 0 50 0.24712542167999985 0.0070585338063053685 50 0 50 0.12425366376000001 0.0048307772246427485 50 0 50 1.4588546460000003 0.14334273711989712
